"Marke,Zulassung,PS,Kilometerstand,Preis"
"peugeot,2004,158,""150,000km"",""$5,000"""
"bmw,1997,286,""150,000km"",""$8,500"""
"volkswagen,2009,102,""70,000km"",""$8,990"""
"smart,2007,71,""70,000km"",""$4,350"""
"ford,NA,0,""150,000km"",""$1,350"""
"chrysler,2006,150,""150,000km"",""$7,900"""
"volkswagen,1995,90,""150,000km"",$300"
"volkswagen,1998,90,""150,000km"",""$1,990"""
"seat,2000,0,""150,000km"",$250"
"renault,1997,90,""150,000km"",$590"
"volkswagen,2017,90,""150,000km"",$999"
"mercedes_benz,2000,0,""150,000km"",$350"
"smart,2010,71,""50,000km"",""$5,299"""
"audi,1999,101,""150,000km"",""$1,350"""
"sonstige_autos,1982,203,""80,000km"",""$18,900"""
"opel,1999,101,""150,000km"",$350"
"volkswagen,1990,205,NA,""$5,500"""
"bmw,1995,150,""150,000km"",$300"
"mazda,2004,124,""150,000km"",""$4,150"""
"audi,2003,131,""150,000km"",""$3,500"""
"porsche,2004,320,""150,000km"",""$41,500"""
"mini,2015,184,""10,000km"",""$25,450"""
"peugeot,2010,120,""150,000km"",""$7,999"""
"bmw,2014,306,""30,000km"",""$48,500"""
",1996,116,""150,000km"",$90"
"volkswagen,1992,54,""125,000km"",$777"
"ford,2005,0,""150,000km"",NA"
"mini,NA,110,""150,000km"",""$5,250"""
"mercedes_benz,2004,204,""150,000km"",""$4,999"""
"peugeot,2002,60,""150,000km"",$80"
"mercedes_benz,2002,218,""150,000km"",""$2,850"""
"opel,1999,0,""150,000km"",$350"
"audi,2006,140,""150,000km"",""$4,800"""
"bmw,2000,193,""150,000km"",""$2,600"""
"ford,1998,0,""150,000km"",""$1,200"""
"ford,2007,131,""150,000km"",""$7,500"""
"seat,2012,140,""90,000km"",""$13,800"""
"volkswagen,2002,75,""125,000km"",""$2,850"""
"mercedes_benz,1999,122,""150,000km"",""$1,450"""
"volkswagen,1999,150,""150,000km"",""$3,500"""
"volkswagen,2003,131,""150,000km"",""$3,200"""
"volkswagen,2014,60,""20,000km"",""$11,900"""
"audi,2011,86,""60,000km"",""$11,500"""
"renault,1998,43,""150,000km"",$900"
"toyota,1995,75,""150,000km"",""$1,000"""
"bmw,2005,0,""150,000km"",""$9,000"""
"mercedes_benz,2008,95,""150,000km"",""$3,499"""
"mercedes_benz,1998,122,""150,000km"",""$1,099"""
"mercedes_benz,2012,435,""60,000km"",""$56,000"""
"peugeot,2008,150,""125,000km"",""$5,999"""
"mercedes_benz,2005,204,""150,000km"",""$6,000"""
"opel,1985,0,""5,000km"",""$3,500"""
"dacia,2012,84,""30,000km"",""$9,000"""
"ford,2004,116,""125,000km"",""$2,500"""
"mercedes_benz,2017,224,""125,000km"",$1"
"renault,1997,58,""125,000km"",$650"
"volkswagen,2007,140,""150,000km"",""$4,100"""
"volkswagen,2004,75,""125,000km"",""$4,200"""
"mercedes_benz,2016,0,""150,000km"",$700"
"volkswagen,1996,90,""150,000km"",""$1,199"""
"nissan,1994,101,""150,000km"",$995"
"volkswagen,2006,116,""125,000km"",""$6,300"""
"mini,2011,184,""70,000km"",""$13,950"""
"bmw,2011,0,""150,000km"",$40"
"ford,2017,65,""125,000km"",$250"
"opel,2005,80,""150,000km"",""$2,250"""
"jeep,1992,121,""150,000km"",""$4,800"""
"mini,2017,174,""100,000km"",""$10,990"""
"dacia,2009,75,""90,000km"",""$2,500"""
"saab,1999,131,""150,000km"",""$1,750"""
"opel,1990,0,""5,000km"",$0"
"audi,2008,179,""150,000km"",""$8,100"""
"volkswagen,1986,57,""125,000km"",""$2,700"""
"opel,2006,0,""150,000km"",""$1,500"""
"volvo,1990,204,""150,000km"",""$3,800"""
"bmw,2016,136,""5,000km"",""$31,999"""
"volvo,2001,108,""150,000km"",""$2,200"""
"peugeot,1998,75,""150,000km"",$449"
"seat,2007,131,""150,000km"",""$6,300"""
"nissan,1999,99,""150,000km"",NA"
"nissan,2007,65,""150,000km"",""$2,000"""
"bmw,2001,170,""150,000km"",""$4,700"""
"bmw,2008,143,""150,000km"",""$8,490"""
"renault,2018,60,""150,000km"",$900"
"toyota,2009,0,""60,000km"",""$5,000"""
"mitsubishi,1995,113,""125,000km"",$399"
",2000,0,""150,000km"",NA"
"bmw,1997,193,""150,000km"",""$1,800"""
"audi,2005,177,""125,000km"",""$7,900"""
"audi,2014,150,""20,000km"",""$34,900"""
"bmw,2006,150,""125,000km"",""$7,999"""
"bmw,2000,0,""150,000km"",""$1,900"""
"mazda,2011,163,""150,000km"",""$7,500"""
"audi,2002,163,""150,000km"",""$6,299"""
"jaguar,2012,385,""40,000km"",""$36,000"""
"volkswagen,1997,110,""150,000km"",""$1,000"""
"mazda,2000,63,""125,000km"",$800"
"audi,2008,200,""125,000km"",""$13,500"""
"peugeot,NA,0,""60,000km"",NA"
"mazda,2007,143,""90,000km"",""$4,500"""
"toyota,2016,0,""150,000km"",$600"
"ford,2004,0,""5,000km"",$320"
"nissan,2004,65,""70,000km"",""$3,799"""
"volkswagen,2001,151,""150,000km"",""$12,000"""
"bmw,2011,204,""150,000km"",""$20,999"""
"opel,1996,106,""5,000km"",$150"
"fiat,2001,85,""150,000km"",$550"
"mercedes_benz,NA,109,""150,000km"",""$3,500"""
"seat,2006,75,""125,000km"",""$3,399"""
"ford,2000,145,""150,000km"",""$1,300"""
"audi,1992,116,""150,000km"",""$1,200"""
",1996,75,""150,000km"",$999"
"volkswagen,2017,75,""150,000km"",""$1,200"""
"volkswagen,2013,140,""60,000km"",""$18,700"""
"audi,2001,179,""150,000km"",""$2,300"""
"opel,2012,101,""80,000km"",""$7,350"""
"audi,2005,163,""150,000km"",""$4,700"""
"volkswagen,2001,204,""150,000km"",$0"
"peugeot,2004,109,""150,000km"",""$2,999"""
"volkswagen,2013,122,""30,000km"",""$18,900"""
"ford,2002,127,""5,000km"",""$1,100"""
"skoda,2007,170,""90,000km"",""$9,990"""
"mercedes_benz,2003,250,""150,000km"",""$6,700"""
"volkswagen,2006,0,""150,000km"",""$3,100"""
"seat,2005,105,""100,000km"",""$4,000"""
"peugeot,2008,120,""125,000km"",""$6,990"""
"volkswagen,1995,60,""30,000km"",$190"
"volkswagen,2003,50,""90,000km"",""$1,950"""
"nissan,2002,126,""125,000km"",""$1,790"""
"ford,1999,75,""150,000km"",$200"
"audi,2009,160,""100,000km"",""$11,900"""
"skoda,2004,163,""150,000km"",""$2,900"""
"mercedes_benz,2005,163,""150,000km"",""$10,000"""
"mercedes_benz,2008,183,""70,000km"",""$32,000"""
"opel,2016,81,""90,000km"",""$8,500"""
"subaru,1995,54,""150,000km"",""$1,499"""
"peugeot,2009,174,""125,000km"",""$7,750"""
"ford,2015,125,""20,000km"",""$18,300"""
"mercedes_benz,2003,0,""125,000km"",""$11,490"""
"sonstige_autos,2008,141,""60,000km"",""$5,400"""
"mercedes_benz,2002,163,""150,000km"",""$2,600"""
"audi,2013,177,""50,000km"",""$29,950"""
"mercedes_benz,2006,224,""150,000km"",""$9,655"""
"skoda,1995,0,""90,000km"",$150"
"opel,1997,75,""150,000km"",$799"
"ford,1996,75,""20,000km"",NA"
"volkswagen,2000,60,""125,000km"",$600"
"volkswagen,1996,60,""125,000km"",$500"
"kia,1997,80,""100,000km"",$550"
"renault,2002,140,""125,000km"",""$2,450"""
"volkswagen,2000,116,""150,000km"",""$3,250"""
"sonstige_autos,2005,163,""150,000km"",""$4,499"""
"porsche,1992,239,""150,000km"",""$31,000"""
"volkswagen,1998,102,""150,000km"",""$3,950"""
"volkswagen,2012,0,""30,000km"",""$23,900"""
"peugeot,1999,60,""150,000km"",$499"
"mercedes_benz,2010,136,""150,000km"",""$12,400"""
"opel,2003,75,""150,000km"",""$1,500"""
"mini,2013,184,""30,000km"",""$18,800"""
"bmw,2012,560,""100,000km"",""$50,500"""
"volkswagen,2008,239,""150,000km"",""$11,000"""
"fiat,2009,95,""125,000km"",""$4,900"""
"citroen,1997,90,""150,000km"",$600"
"opel,2018,0,""80,000km"",""$4,800"""
"audi,2008,143,""125,000km"",""$13,950"""
"mercedes_benz,1972,95,""80,000km"",""$15,000"""
"volkswagen,2011,0,""5,000km"",$0"
"mercedes_benz,2011,170,""125,000km"",""$21,959"""
"volkswagen,2000,101,""150,000km"",""$1,700"""
"fiat,1999,55,""100,000km"",$890"
"audi,2008,120,""80,000km"",""$11,590"""
"volkswagen,2000,88,""150,000km"",""$2,000"""
"audi,2005,344,""150,000km"",""$14,000"""
"fiat,2000,80,""150,000km"",$300"
"sonstige_autos,1972,0,""20,000km"",""$13,800"""
"volkswagen,NA,75,""150,000km"",$450"
"audi,2007,232,""150,000km"",""$9,990"""
"volkswagen,2003,136,""150,000km"",""$4,699"""
"mitsubishi,2005,75,""150,000km"",""$2,600"""
"mazda,2016,98,""150,000km"",$0"
"peugeot,1999,0,""150,000km"",$700"
"renault,2004,135,""150,000km"",""$1,790"""
"smart,1999,45,""150,000km"",""$1,499"""
"peugeot,2009,73,""100,000km"",""$4,490"""
"renault,2001,75,""150,000km"",""$1,490"""
"audi,2008,179,""150,000km"",""$7,200"""
"volkswagen,1999,60,""150,000km"",$900"
"opel,1998,75,""150,000km"",$850"
