year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,2,1,456,500,-4,652,648,4,US,1117,N197UW,EWR,CLT,98,529,5,0,2013-02-01T10:00:00Z
2013,2,1,520,525,-5,816,820,-4,UA,1018,N24211,EWR,IAH,209,1400,5,25,2013-02-01T10:00:00Z
2013,2,1,527,530,-3,837,829,8,UA,650,N470UA,LGA,IAH,233,1416,5,30,2013-02-01T10:00:00Z
2013,2,1,532,540,-8,1007,1017,-10,B6,725,N554JB,JFK,BQN,195,1576,5,40,2013-02-01T10:00:00Z
2013,2,1,540,540,0,859,850,9,AA,1141,N615AA,JFK,MIA,169,1089,5,40,2013-02-01T10:00:00Z
2013,2,1,552,600,-8,714,715,-1,EV,5716,N829AS,JFK,IAD,58,228,6,0,2013-02-01T11:00:00Z
2013,2,1,552,600,-8,919,910,9,AA,707,N3BUAA,LGA,DFW,227,1389,6,0,2013-02-01T11:00:00Z
2013,2,1,552,600,-8,655,709,-14,B6,380,N346JB,EWR,BOS,42,200,6,0,2013-02-01T11:00:00Z
2013,2,1,553,600,-7,833,815,18,FL,345,N980AT,LGA,ATL,134,762,6,0,2013-02-01T11:00:00Z
2013,2,1,553,600,-7,821,825,-4,MQ,4650,N1EAMQ,LGA,ATL,125,762,6,0,2013-02-01T11:00:00Z
2013,2,1,553,600,-7,659,659,0,US,2161,N730US,LGA,DCA,49,214,6,0,2013-02-01T11:00:00Z
2013,2,1,554,600,-6,713,716,-3,EV,4201,N14198,EWR,IAD,52,212,6,0,2013-02-01T11:00:00Z
2013,2,1,554,600,-6,851,904,-13,B6,371,N623JB,LGA,FLL,159,1076,6,0,2013-02-01T11:00:00Z
2013,2,1,554,601,-7,920,918,2,UA,1030,N17122,JFK,LAX,356,2475,6,1,2013-02-01T11:00:00Z
2013,2,1,555,600,-5,903,906,-3,B6,125,N523JB,JFK,FLL,160,1069,6,0,2013-02-01T11:00:00Z
2013,2,1,556,600,-4,730,745,-15,AA,301,N3GKAA,LGA,ORD,114,733,6,0,2013-02-01T11:00:00Z
2013,2,1,557,600,-3,859,859,0,B6,507,N705JB,EWR,FLL,156,1065,6,0,2013-02-01T11:00:00Z
2013,2,1,558,600,-2,916,912,4,B6,135,N537JB,JFK,RSW,179,1074,6,0,2013-02-01T11:00:00Z
2013,2,1,558,600,-2,738,759,-21,DL,731,N358NB,LGA,DTW,77,502,6,0,2013-02-01T11:00:00Z
2013,2,1,558,605,-7,753,805,-12,MQ,4401,N725MQ,LGA,DTW,83,502,6,5,2013-02-01T11:00:00Z
2013,2,1,559,600,-1,923,925,-2,UA,303,N508UA,JFK,SFO,358,2586,6,0,2013-02-01T11:00:00Z
2013,2,1,600,600,0,833,837,-4,DL,461,N666DN,LGA,ATL,129,762,6,0,2013-02-01T11:00:00Z
2013,2,1,601,600,1,717,730,-13,WN,3223,N8308K,LGA,MDW,113,725,6,0,2013-02-01T11:00:00Z
2013,2,1,601,608,-7,703,725,-22,UA,733,N848UA,EWR,BOS,41,200,6,8,2013-02-01T11:00:00Z
2013,2,1,601,608,-7,723,755,-32,UA,963,N481UA,EWR,CLE,68,404,6,8,2013-02-01T11:00:00Z
2013,2,1,602,600,2,655,658,-3,US,1833,N945UW,JFK,PHL,26,94,6,0,2013-02-01T11:00:00Z
2013,2,1,603,610,-7,913,915,-2,AA,1837,N3GYAA,LGA,MIA,164,1096,6,10,2013-02-01T11:00:00Z
2013,2,1,604,610,-6,752,817,-25,DL,1919,N324US,LGA,MSP,144,1020,6,10,2013-02-01T11:00:00Z
2013,2,1,604,615,-11,747,750,-3,MQ,4518,N723MQ,LGA,RDU,81,431,6,15,2013-02-01T11:00:00Z
2013,2,1,605,610,-5,719,735,-16,WN,3839,N965WN,EWR,MDW,113,711,6,10,2013-02-01T11:00:00Z
2013,2,1,608,615,-7,837,842,-5,DL,575,N340NB,EWR,ATL,125,746,6,15,2013-02-01T11:00:00Z
2013,2,1,609,610,-1,902,902,0,B6,145,N806JB,JFK,PBI,154,1028,6,10,2013-02-01T11:00:00Z
2013,2,1,610,615,-5,905,855,10,9E,3856,N176PQ,JFK,ATL,144,760,6,15,2013-02-01T11:00:00Z
2013,2,1,612,600,12,714,703,11,US,2114,N747UW,LGA,BOS,39,184,6,0,2013-02-01T11:00:00Z
2013,2,1,615,610,5,1051,1051,0,B6,709,N665JB,JFK,SJU,198,1598,6,10,2013-02-01T11:00:00Z
2013,2,1,616,625,-9,727,744,-17,EV,4533,N18557,EWR,BUF,53,282,6,25,2013-02-01T11:00:00Z
2013,2,1,618,601,17,727,725,2,EV,4708,N13202,EWR,MKE,111,725,6,1,2013-02-01T11:00:00Z
2013,2,1,621,610,11,918,910,8,AA,1895,N5CPAA,EWR,MIA,154,1085,6,10,2013-02-01T11:00:00Z
2013,2,1,621,630,-9,832,830,2,MQ,4599,N3AEMQ,LGA,MSP,150,1020,6,30,2013-02-01T11:00:00Z
2013,2,1,622,625,-3,722,730,-8,WN,3127,N723SW,EWR,BWI,45,169,6,25,2013-02-01T11:00:00Z
2013,2,1,623,625,-2,917,916,1,B6,79,N703JB,JFK,MCO,156,944,6,25,2013-02-01T11:00:00Z
2013,2,1,623,635,-12,928,934,-6,B6,983,N563JB,LGA,TPA,163,1010,6,35,2013-02-01T11:00:00Z
2013,2,1,625,630,-5,746,810,-24,AA,303,N3DAAA,LGA,ORD,113,733,6,30,2013-02-01T11:00:00Z
2013,2,1,625,630,-5,840,830,10,MQ,4576,N0EGMQ,LGA,CLT,100,544,6,30,2013-02-01T11:00:00Z
2013,2,1,626,630,-4,1126,1140,-14,AA,413,N3CFAA,JFK,SJU,204,1598,6,30,2013-02-01T11:00:00Z
2013,2,1,626,630,-4,905,859,6,DL,2006,N370NB,LGA,MSY,196,1183,6,30,2013-02-01T11:00:00Z
2013,2,1,628,630,-2,930,927,3,B6,71,N729JB,JFK,TPA,162,1005,6,30,2013-02-01T11:00:00Z
2013,2,1,629,630,-1,859,905,-6,WN,135,N202WN,LGA,DEN,233,1620,6,30,2013-02-01T11:00:00Z
2013,2,1,629,630,-1,832,843,-11,US,1433,N173US,LGA,CLT,101,544,6,30,2013-02-01T11:00:00Z
2013,2,1,630,640,-10,841,900,-19,EV,4122,N15980,EWR,SDF,113,642,6,40,2013-02-01T11:00:00Z
2013,2,1,630,600,30,815,801,14,EV,4911,N759EV,EWR,DTW,80,488,6,0,2013-02-01T11:00:00Z
2013,2,1,630,634,-4,946,935,11,UA,772,N514UA,EWR,MIA,171,1085,6,34,2013-02-01T11:00:00Z
2013,2,1,631,635,-4,946,1002,-16,UA,421,N818UA,EWR,SFO,352,2565,6,35,2013-02-01T11:00:00Z
2013,2,1,631,635,-4,946,1019,-33,UA,849,N491UA,EWR,PHX,301,2133,6,35,2013-02-01T11:00:00Z
2013,2,1,632,635,-3,939,940,-1,AA,711,N3EMAA,LGA,DFW,222,1389,6,35,2013-02-01T11:00:00Z
2013,2,1,632,625,7,935,934,1,UA,1497,N73278,LGA,IAH,219,1416,6,25,2013-02-01T11:00:00Z
2013,2,1,633,631,2,740,741,-1,B6,1002,N583JB,JFK,BOS,40,187,6,31,2013-02-01T11:00:00Z
2013,2,1,635,634,1,822,822,0,EV,4334,N21154,EWR,CMH,80,463,6,34,2013-02-01T11:00:00Z
2013,2,1,640,630,10,849,847,2,EV,4419,N15574,EWR,IND,109,645,6,30,2013-02-01T11:00:00Z
2013,2,1,640,645,-5,850,846,4,US,926,N560UW,EWR,CLT,95,529,6,45,2013-02-01T11:00:00Z
2013,2,1,640,636,4,934,945,-11,UA,1701,N79279,EWR,FLL,156,1065,6,36,2013-02-01T11:00:00Z
2013,2,1,641,635,6,941,939,2,UA,1627,N33714,EWR,PBI,167,1023,6,35,2013-02-01T11:00:00Z
2013,2,1,642,645,-3,801,808,-7,B6,102,N586JB,JFK,BUF,62,301,6,45,2013-02-01T11:00:00Z
2013,2,1,643,630,13,900,831,29,US,1407,N185UW,EWR,CLT,101,529,6,30,2013-02-01T11:00:00Z
2013,2,1,644,607,37,854,819,35,EV,4559,N14902,EWR,CVG,108,569,6,7,2013-02-01T11:00:00Z
2013,2,1,644,648,-4,952,1006,-14,UA,910,N471UA,EWR,AUS,228,1504,6,48,2013-02-01T11:00:00Z
2013,2,1,645,645,0,935,952,-17,UA,719,N415UA,EWR,DFW,213,1372,6,45,2013-02-01T11:00:00Z
2013,2,1,648,630,18,833,810,23,B6,905,N266JB,JFK,ORD,126,740,6,30,2013-02-01T11:00:00Z
2013,2,1,651,655,-4,955,1029,-34,DL,1415,N703TW,JFK,SLC,278,1990,6,55,2013-02-01T11:00:00Z
2013,2,1,651,659,-8,929,938,-9,DL,1547,N672DL,LGA,ATL,128,762,6,59,2013-02-01T11:00:00Z
2013,2,1,651,654,-3,907,913,-6,UA,1472,N37464,EWR,DEN,233,1605,6,54,2013-02-01T11:00:00Z
